Semana,fake news: (A nível mundial)
2014-12-21,4
2014-12-28,5
2015-01-04,4
2015-01-11,4
2015-01-18,4
2015-01-25,4
2015-02-01,4
2015-02-08,4
2015-02-15,4
2015-02-22,4
2015-03-01,4
2015-03-08,5
2015-03-15,4
2015-03-22,4
2015-03-29,5
2015-04-05,4
2015-04-12,4
2015-04-19,4
2015-04-26,4
2015-05-03,4
2015-05-10,4
2015-05-17,4
2015-05-24,4
2015-05-31,4
2015-06-07,4
2015-06-14,4
2015-06-21,4
2015-06-28,5
2015-07-05,5
2015-07-12,4
2015-07-19,4
2015-07-26,5
2015-08-02,4
2015-08-09,5
2015-08-16,4
2015-08-23,7
2015-08-30,5
2015-09-06,5
2015-09-13,5
2015-09-20,5
2015-09-27,5
2015-10-04,5
2015-10-11,4
2015-10-18,4
2015-10-25,6
2015-11-01,4
2015-11-08,4
2015-11-15,5
2015-11-22,4
2015-11-29,4
2015-12-06,5
2015-12-13,5
2015-12-20,3
2015-12-27,4
2016-01-03,3
2016-01-10,4
2016-01-17,4
2016-01-24,4
2016-01-31,4
2016-02-07,4
2016-02-14,5
2016-02-21,4
2016-02-28,4
2016-03-06,4
2016-03-13,4
2016-03-20,4
2016-03-27,5
2016-04-03,4
2016-04-10,4
2016-04-17,4
2016-04-24,4
2016-05-01,4
2016-05-08,4
2016-05-15,4
2016-05-22,4
2016-05-29,4
2016-06-05,4
2016-06-12,4
2016-06-19,5
2016-06-26,4
2016-07-03,5
2016-07-10,5
2016-07-17,6
2016-07-24,5
2016-07-31,5
2016-08-07,4
2016-08-14,4
2016-08-21,4
2016-08-28,4
2016-09-04,4
2016-09-11,4
2016-09-18,5
2016-09-25,5
2016-10-02,6
2016-10-09,6
2016-10-16,6
2016-10-23,6
2016-10-30,8
2016-11-06,12
2016-11-13,40
2016-11-20,35
2016-11-27,29
2016-12-04,49
2016-12-11,47
2016-12-18,29
2016-12-25,23
2017-01-01,23
2017-01-08,69
2017-01-15,42
2017-01-22,46
2017-01-29,46
2017-02-05,47
2017-02-12,60
2017-02-19,60
2017-02-26,45
2017-03-05,37
2017-03-12,37
2017-03-19,37
2017-03-26,41
2017-04-02,35
2017-04-09,32
2017-04-16,30
2017-04-23,31
2017-04-30,34
2017-05-07,31
2017-05-14,30
2017-05-21,30
2017-05-28,26
2017-06-04,37
2017-06-11,24
2017-06-18,25
2017-06-25,55
2017-07-02,37
2017-07-09,27
2017-07-16,27
2017-07-23,23
2017-07-30,27
2017-08-06,24
2017-08-13,28
2017-08-20,25
2017-08-27,28
2017-09-03,28
2017-09-10,28
2017-09-17,28
2017-09-24,34
2017-10-01,38
2017-10-08,32
2017-10-15,32
2017-10-22,29
2017-10-29,33
2017-11-05,32
2017-11-12,30
2017-11-19,24
2017-11-26,36
2017-12-03,36
2017-12-10,32
2017-12-17,23
2017-12-24,20
2017-12-31,31
2018-01-07,42
2018-01-14,100
2018-01-21,38
2018-01-28,32
2018-02-04,29
2018-02-11,31
2018-02-18,39
2018-02-25,36
2018-03-04,33
2018-03-11,35
2018-03-18,36
2018-03-25,32
2018-04-01,42
2018-04-08,34
2018-04-15,35
2018-04-22,31
2018-04-29,29
2018-05-06,28
2018-05-13,29
2018-05-20,28
2018-05-27,33
2018-06-03,28
2018-06-10,31
2018-06-17,31
2018-06-24,28
2018-07-01,25
2018-07-08,28
2018-07-15,30
2018-07-22,32
2018-07-29,32
2018-08-05,31
2018-08-12,31
2018-08-19,35
2018-08-26,39
2018-09-02,36
2018-09-09,40
2018-09-16,50
2018-09-23,39
2018-09-30,48
2018-10-07,75
2018-10-14,71
2018-10-21,72
2018-10-28,62
2018-11-04,57
2018-11-11,38
2018-11-18,33
2018-11-25,34
2018-12-02,33
2018-12-09,28
2018-12-16,25
2018-12-23,20
2018-12-30,21
2019-01-06,30
2019-01-13,31
2019-01-20,37
2019-01-27,32
2019-02-03,28
2019-02-10,32
2019-02-17,34
2019-02-24,38
2019-03-03,33
2019-03-10,34
2019-03-17,34
2019-03-24,33
2019-03-31,35
2019-04-07,28
2019-04-14,27
2019-04-21,27
2019-04-28,27
2019-05-05,29
2019-05-12,31
2019-05-19,29
2019-05-26,28
2019-06-02,30
2019-06-09,26
2019-06-16,25
2019-06-23,24
2019-06-30,26
2019-07-07,22
2019-07-14,20
2019-07-21,22
2019-07-28,21
2019-08-04,23
2019-08-11,26
2019-08-18,30
2019-08-25,34
2019-09-01,30
2019-09-08,32
2019-09-15,29
2019-09-22,34
2019-09-29,31
2019-10-06,31
2019-10-13,40
2019-10-20,35
2019-10-27,34
2019-11-03,37
2019-11-10,34
2019-11-17,39
2019-11-24,29
2019-12-01,30
2019-12-08,31
2019-12-15,23
